	dataset	type	representation	lr_acc	lr_f1ma	lr_f1mi	svm_rbf_acc	svm_rbf_f1ma	svm_rbf_f1mi	tree5_acc	tree5_f1ma	tree5_f1mi	tree10_acc	tree10_f1ma	tree10_f1mi	tree20_acc	tree20_f1ma	tree20_f1mi	forest5_acc	forest5_f1ma	forest5_f1mi	forest10_acc	forest10_f1ma	forest10_f1mi	forest15_acc	forest15_f1ma	forest15_f1mi	knn10_acc	knn10_f1ma	knn10_f1mi	knn20_acc	knn20_f1ma	knn20_f1mi	knn30_acc	knn30_f1ma	knn30_f1mi	knn40_acc	knn40_f1ma	knn40_f1mi
0	swda_mfs_100w	iso	glove-twitter-25_mean	0.73	0.39	0.73	0.71	0.33	0.71	0.7	0.36	0.7	0.71	0.41	0.71	0.66	0.4	0.66	0.71	0.31	0.71	0.73	0.42	0.73	0.74	0.44	0.74	0.74	0.45	0.74	0.73	0.41	0.73	0.73	0.4	0.73	0.72	0.38	0.72
1	swda_mfs_100w	iso	glove-wiki-gigaword-100_max	0.73	0.43	0.73	0.73	0.4	0.73	0.72	0.36	0.72	0.73	0.44	0.73	0.69	0.43	0.69	0.72	0.32	0.72	0.75	0.47	0.75	0.76	0.48	0.76	0.72	0.41	0.72	0.72	0.38	0.72	0.71	0.35	0.71	0.71	0.35	0.71
2	swda_mfs_100w	iso	glove-wiki-gigaword-100_mean	0.74	0.43	0.74	0.72	0.38	0.72	0.69	0.31	0.69	0.69	0.38	0.69	0.66	0.39	0.66	0.7	0.28	0.7	0.72	0.39	0.72	0.73	0.41	0.73	0.73	0.43	0.73	0.73	0.4	0.73	0.72	0.37	0.72	0.71	0.36	0.71
3	swda_mfs_100w	iso	glove-twitter-25_max	0.72	0.35	0.72	0.73	0.37	0.73	0.7	0.35	0.7	0.72	0.48	0.72	0.69	0.45	0.69	0.72	0.33	0.72	0.76	0.49	0.76	0.76	0.51	0.76	0.73	0.43	0.73	0.73	0.41	0.73	0.72	0.39	0.72	0.72	0.38	0.72
4	swda_mfs_100w	iso	lda8	0.65	0.16	0.65	0.67	0.2	0.67	0.68	0.25	0.68	0.69	0.36	0.69	0.63	0.35	0.63	0.69	0.23	0.69	0.7	0.35	0.7	0.7	0.37	0.7	0.67	0.35	0.67	0.68	0.32	0.68	0.68	0.3	0.68	0.67	0.28	0.67
5	swda_mfs_100w	iso	lsi8	0.67	0.23	0.67	0.7	0.32	0.7	0.69	0.3	0.69	0.72	0.41	0.72	0.68	0.42	0.68	0.7	0.28	0.7	0.74	0.43	0.74	0.74	0.46	0.74	0.71	0.41	0.71	0.72	0.41	0.72	0.71	0.39	0.71	0.71	0.37	0.71
